1	69	15.91
2	63	19.94
3	75	15.6
4	65	16.79
5	93	12.74
6	98	11.14
7	39	12.17
8	18	19.79
9	8	14.6
10	10	17.86
11	6	11.04
12	26	10.65
13	79	16.71
14	96	16.97
15	62	17.26
16	28	11.26
17	51	11.6
18	86	16.86
19	56	11.07
20	32	13.2
21	22	19.49
22	86	18.62
23	5	18.6
24	25	14.18
25	33	10.45
26	88	14.79
27	42	19.21
28	47	14.26
29	31	18.02
30	48	11.15
31	29	16.34
32	74	13.62
33	31	18.16
34	82	19.33
35	8	18.76
36	33	13.04
37	48	12.72
38	32	15.98
39	64	14.44
40	31	13.31
41	71	10.61
42	78	12.61
43	90	19.49
44	34	11.44
45	24	17.78
